Qualifications,Job Title,Job Description,skills,Resume Data,Keyword Match,Section Structure,Formatting Compliance,Readability Score,Grammar Score,Structure Score,Vocabulary Score,Final Score,Resume Content Sufficiency Score
M.Com,Marketing Coordinator,"Marketing Specialists develop and implement marketing campaigns, analyze market trends, and promote products or services to target audiences.",Market research and analysis Content creation and copywriting Social media management SEO and digital marketing Marketing automation tools proficiency,,,,,,,,,,
PhD,Network Administrator,"Design, implement, and maintain computer networks, troubleshoot network issues, and ensure network performance and security.","Network infrastructure design Routing and switching Network protocols (e.g., TCP/IP) Cisco or Juniper certifications Troubleshooting and diagnostics Security protocols Wireless networking Network monitoring Collaboration Problem-solving Attention to detail",,,,,,,,,,
MBA,Landscape Architect,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development.",Urban design and planning Zoning regulations GIS and mapping tools,,,,,,,,,,
MBA,Substance Abuse Counselor,"An Addiction Counselor provides support and therapy to individuals struggling with addiction, helping them overcome substance abuse and develop healthier coping strategies.",Addiction counseling techniques Substance abuse treatment Counseling ethics,,,,,,,,,,
MCA,Email Marketing Specialist,"Implement and manage marketing automation tools, workflows, and campaigns to streamline marketing efforts.","Marketing automation platforms (e.g., Marketo, Pardot) Lead nurturing Workflow automation CRM integration Analytics and reporting Email marketing Campaign optimization Marketing strategy Communication skills Problem-solving Attention to detail",,,,,,,,,,
MBA,Purchasing Agent,"A Procurement Specialist manages procurement processes, negotiates with suppliers, and ensures cost-effective purchasing of goods and services to meet organizational needs.",Negotiation skills Vendor management Supply chain knowledge Contract management Analytical skills,,,,,,,,,,
BA,Financial Controller,"Finance Managers oversee an organizations financial operations, including budgeting, financial reporting, and investment management. They analyze financial data, make strategic financial decisions, and ensure compliance with financial regulations.","Financial management Budgeting Financial analysis Financial reporting Risk management Financial software (e.g., Excel, QuickBooks) Strategic planning",,,,,,,,,,
PhD,Environmental Consultant,"Sustainability Consultants advise organizations on sustainable practices and strategies. They assess environmental impact, recommend sustainability initiatives, and assist in the development and implementation of sustainable policies.",Sustainability consulting Sustainability assessments Sustainable practices Green building standards Environmental policies Client communication,,,,,,,,,,
BCA,Family Nurse Practitioner,Geriatric Nurse Practitioners focus on the healthcare needs of elderly patients. They provide specialized care and address age-related health concerns.,Geriatric healthcare Geriatric assessment Geriatric treatment Elderly patient care Geriatric pharmacology,,,,,,,,,,
BCA,Account Director,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.",Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,,,,,,,,,,
B.Com,Legal Assistant,"Provide administrative support to legal professionals, manage schedules, draft documents, and handle correspondence.","Legal administrative tasks Document management Calendar and docketing Transcription File organization Communication with clients and courts Knowledge of legal terminology Attention to detail Multitasking Computer skills (e.g., MS Office)",,,,,,,,,,
BBA,QA Engineer,"A QA Manager is responsible for leading and managing the quality assurance team. They ensure product quality, develop and implement QA processes, and maintain quality standards.",Quality assurance Process improvement Team leadership Problem-solving Quality control,,,,,,,,,,
M.Tech,Pharmaceutical Sales Representative,"Territory Sales Managers oversee a specific sales territory, managing sales teams, setting goals, and developing strategies to meet sales objectives.",Sales leadership Territory management Team management Sales data analysis Strategic planning and execution,,,,,,,,,,
B.Com,Urban Planner,"Transportation Planners design and manage transportation systems. They optimize traffic flow, plan public transit routes, and enhance overall transportation efficiency.",Transportation planning Traffic engineering GIS proficiency Public transportation Project management,,,,,,,,,,
